primary	synonyms	description
MT1L	MT1|MT1R|MTF	metallothionein 1L| pseudogene
MT1M	MT-1M|MT-IM|MT1|MT1K|MT1|MT1K|MT1K	metallothionein 1M
MT1P1	bA435O5.3	metallothionein 1 pseudogene 1
MT1P3	C20orf127|MTL4|dJ614O4.6	metallothionein 1 pseudogene 3
MT1X	MT-1l|MT1|MT-1l|MT1	metallothionein 1X
MT1XP1	MTL1	metallothionein 1X pseudogene 1
MT2A	MT-2|MT-II|MT2|MT2|CES1|MT2	metallothionein 2A
MT2P1		
MT3	GIF|GIFB|GRIF|ZnMT3|GIF	metallothionein 3
MT4	MT-4|MT-IV|MTIV|MTIV	metallothionein 4
MTA1		
MTA2	MTA1L1|PID|MTA1-L1|MTA1L1|MTA1L1|PID	metastasis associated 1 family member 2
MTA3	KIAA1266|KIAA1266	
MTAP	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus|MSAP|c86fus|MSAP	methylthioadenosine phosphorylase
MTAP-ANRIL fusion		
MTAPP1		
MTAPP2		
MTATP6		
MTATP6P1		
MTATP6P10		
MTATP6P11		
MTATP6P12		
MTATP6P13		
MTATP6P14		
MTATP6P15		
MTATP6P16	ALS2CR3	MT-ATP6 pseudogene 16
MTATP6P17		
MTATP6P18		
MTATP6P19		
MTATP6P2		
MTATP6P20		
MTATP6P21		
MTATP6P22		
MTATP6P23		
MTATP6P24		
MTATP6P25		
MTATP6P26		
MTATP6P27		
MTATP6P28		
MTATP6P29		
MTATP6P3		
MTATP6P30		
MTATP6P31		
MTATP6P4		
MTATP6P5		
MTATP6P6		
MTATP6P7		
MTATP6P8		
MTATP6P9		
MTATP8P1		
MTATP8P2		
MTATP8P3		
MTATP8P4		
MTB		
MTBP	MDM2BP	MDM2 binding protein
MTBS1		
MTBS2		
MTBS3		
MTBSX	MTBS	Mycobacterium tuberculosis| susceptibility to infection by
MTCH1	CGI-64|PIG60|PSAP|SLC25A49|CGI-64|PSAP|SLC25A49|PSAP	mitochondrial carrier 1
MTCH2	HSPC032|MIMP|SLC25A50|SLC25A50|MIMP	mitochondrial carrier 2
MTCL1	CCDC165|KIAA0802|SOGA2|KIAA0802|CCDC165|SOGA2|CCDC165|KIAA0802|SOGA2	microtubule crosslinking factor 1
MTCL1P1	CCDC165P1|SOGA2P1	MTCL1 pseudogene 1
MTCO1P1		
MTCO1P10		
MTCO1P11		
MTCO1P12		
MTCO1P13		
MTCO1P14		
MTCO1P15		
MTCO1P16		
MTCO1P17		
MTCO1P18		
MTCO1P19		
MTCO1P2		
MTCO1P20		
MTCO1P21		
MTCO1P22		
MTCO1P23		
MTCO1P24		
MTCO1P25		
MTCO1P26		
MTCO1P27		
MTCO1P28		
MTCO1P29		
MTCO1P3		
MTCO1P30		
MTCO1P31		
MTCO1P32		
MTCO1P33		
MTCO1P34		
MTCO1P35		
MTCO1P36		
MTCO1P37		
MTCO1P38		
MTCO1P39		
MTCO1P4		
MTCO1P40		
MTCO1P41		
MTCO1P42		
MTCO1P43		
MTCO1P44		
MTCO1P45		
MTCO1P46		
MTCO1P47		
MTCO1P48		
MTCO1P49		
MTCO1P5		
MTCO1P50		
MTCO1P51		
MTCO1P52		
MTCO1P53		
MTCO1P54		
MTCO1P55		
MTCO1P56		
MTCO1P57		
MTCO1P6		
MTCO1P7		
MTCO1P8		
MTCO1P9		
MTCO2P1	MTCO2L|dJ342K12.1	MT-CO2 pseudogene 1
MTCO2P10		
MTCO2P11		
MTCO2P12	COII|COX2|COXII|MT-CO2|MTCO2	MT-CO2 pseudogene 12
MTCO2P13		
MTCO2P14		
MTCO2P15		
MTCO2P16	ALS2CR3	MT-CO2 pseudogene 16
MTCO2P17		
MTCO2P18		
MTCO2P19		
MTCO2P2	HsT4010	MT-CO2 pseudogene 2
MTCO2P20		
MTCO2P21		
MTCO2P22		
MTCO2P23		
MTCO2P24		
MTCO2P25		
MTCO2P26		
MTCO2P27		
MTCO2P28		
MTCO2P29		
MTCO2P3		
MTCO2P30		
MTCO2P31		
MTCO2P32		
MTCO2P33		
MTCO2P34		
MTCO2P4		
MTCO2P5		
MTCO2P6		
MTCO2P7		
MTCO2P8		
MTCO2P9		
MTCO3P1	U92032.1	MT-CO3 pseudogene 1
MTCO3P10		
MTCO3P11		
MTCO3P12		
MTCO3P13		
MTCO3P14		
MTCO3P15		
MTCO3P16	ALS2CR3	MT-CO3 pseudogene 16
MTCO3P17		
MTCO3P18		
MTCO3P19		
MTCO3P2		
MTCO3P20		
MTCO3P21		
MTCO3P22		
MTCO3P23		
MTCO3P24		
MTCO3P25		
MTCO3P26		
MTCO3P27		
MTCO3P28		
MTCO3P29		
MTCO3P3		
MTCO3P30		
MTCO3P31		
MTCO3P32		
MTCO3P33		
MTCO3P34		
MTCO3P35		
MTCO3P36		
MTCO3P37		
MTCO3P38		
MTCO3P39		
MTCO3P4		
MTCO3P40		
MTCO3P41		
MTCO3P42		
MTCO3P43		
MTCO3P44		
MTCO3P45		
MTCO3P46		
MTCO3P5		
MTCO3P6		
MTCO3P7		
MTCO3P8		
MTCO3P9		
MTCP1	P13MTCP1|p8MTCP1|P13MTCP1|p8MTCP1|C6.1B	mature T cell proliferation 1
MTCYBP1		
MTCYBP10		
MTCYBP11		
MTCYBP12		
MTCYBP13		
MTCYBP14		
MTCYBP15		
MTCYBP16		
MTCYBP17		
MTCYBP18		
MTCYBP19		
MTCYBP2		
MTCYBP20		
MTCYBP21		
MTCYBP22		
MTCYBP23		
MTCYBP24		
MTCYBP25		
MTCYBP26		
MTCYBP27		
MTCYBP28		
MTCYBP29		
MTCYBP3		
MTCYBP30		
MTCYBP31		
MTCYBP32		
MTCYBP33		
MTCYBP34		
MTCYBP35		
MTCYBP36		
MTCYBP37		
MTCYBP38		
MTCYBP39		
MTCYBP4		
MTCYBP40		
MTCYBP41		
MTCYBP42		
MTCYBP43		
MTCYBP44		
MTCYBP45		
MTCYBP5		
MTCYBP6		
MTCYBP7		
MTCYBP8		
MTCYBP9		
MTDH	3D3|AEG-1|AEG1|LYRIC|LYRIC/3D3|LYRIC|3D3|AEG-1|AEG1|LYRIC	metadherin
MTDHP1		
MTDHP2		
MTDHP3		
MTDHP4		
MTDHP5		
MTE		
MTERF1	MTERF|MTERF|MTERF	mitochondrial transcription termination factor 1
MTERF2	MTERFD3|mTERFL|FLJ14062|MTERFD3|MTERFD3	mitochondrial transcription termination factor 2
MTERF3	CGI-12|MTERFD1|CGI-12|FLJ10939|MTERFD1|MTERFD1	mitochondrial transcription termination factor 3
MTERF4	MTERFD2|MGC61716|MTERFD2|MTERFD2	mitochondrial transcription termination factor 4
MTERFD2		
MTERFD3		
MTF		
MTF-1		
MTF1	MTF-1|ZRF	metal regulatory transcription factor 1
MTF2	M96|PCL2|TDRD19A|dJ976O13.2|M96|PCL2|TDRD19A|PCL2	metal response element binding transcription factor 2
MTFMT	COXPD15|FMT1|FMT1|FMT|FMT1	mitochondrial methionyl-tRNA formyltransferase
MTFP1	HSPC242|MTP18|MTP18|HSPC242|MTP18	mitochondrial fission process 1
MTFR1	CHPPR|FAM54A2|CHPPR|KIAA0009|FAM54A2|CHPPR|FAM54A2|KIAA0009	mitochondrial fission regulator 1
MTFR1L	FAM54B|HYST1888|MST116|MSTP116|FAM54B|FAM54B	mitochondrial fission regulator 1 like
MTFR2	DUFD1|FAM54A|DUFD1|FAM54A|DUFD1|FAM54A	mitochondrial fission regulator 2
MTG1	GTP|GTPBP7|GTPBP7|GTPBP7	mitochondrial ribosome associated GTPase 1
MTG2	GTPBP5|ObgH1|dJ1005F21.2|FLJ10741|dJ1005F21.2|ObgH1|GTPBP5|GTPBP5|OBGH1	mitochondrial ribosome associated GTPase 2
MTG8		
MTGR1		
MTHFD1	CIMAH|MTHFC|MTHFD|MTHFC|MTHFD|MTHFC|MTHFD	methylenetetrahydrofolate dehydrogenase| cyclohydrolase and formyltetrahydrofolate synthetase 1
MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2|DKFZP586G1517|FLJ21145|FTHFSDC1|FTHFSDC1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
MTHFD1P1	MTHFDL1|MTHFDP1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1
MTHFD2	NMDMC|NMDMC	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2| methenyltetrahydrofolate cyclohydrolase
MTHFD2L	MGC72244	
MTHFD2P1		
MTHFD2P2		
MTHFD2P3		
MTHFD2P4		
MTHFD2P5		
MTHFD2P6		
MTHFD2P7		
MTHFR		
MTHFS	HsT19268|HsT19268	methenyltetrahydrofolate synthetase
MTHFSD	FLJ12998	
MTIF2	IF-2mt	
MTIF2P1		
MTIF3	IF3mt|IF-3mt|IF3(mt)	mitochondrial translational initiation factor 3
MTL3P	MTL3	metallothionein-like 3| pseudogene
MTL5		
MTLN	LINC00116|NCRNA00116|SMIM37|MOXI|NCRNA00116|LINC00116|SMIM37	mitoregulin
MTM1	CNM|MTMX|XLMTM|CG2	myotubularin 1
MTMR1		
MTMR10	FLJ20313	
MTMR11	CRA|CRA	myotubularin related protein 11
MTMR12	3-PAP|PIP3AP|3-PAP|FLJ20476|KIAA1682|3PAP|PIP3AP|KIAA1682|PIP3AP	myotubularin related protein 12
MTMR14	C3orf29|FLJ22405|FLJ90311|hJumpy|hEDTP|C3orf29|C3orf29	myotubularin related protein 14
MTMR2	CMT4B|CMT4B1|KIAA1073|CMT4B|KIAA1073	myotubularin related protein 2
MTMR3	FYVE-DSP1|ZFYVE10|KIAA0371|ZFYVE10|FYVE-DSP1|KIAA0371|ZFYVE10	myotubularin related protein 3
MTMR4	FYVE-DSP2|ZFYVE11|KIAA0647|ZFYVE11|KIAA0647|ZFYVE11	myotubularin related protein 4
MTMR6		
MTMR7		
MTMR8	FLJ20126	
MTMR9	C8orf9|LIP-STYX|MTMR8|DKFZp434K171|LIP-STYX|C8orf9|MTMR8|C8orf9|MTMR8	myotubularin related protein 9
MTMR9LP	MTMR9L	myotubularin related protein 9-like| pseudogene
MTND1P1		
MTND1P10		
MTND1P11		
MTND1P12		
MTND1P13		
MTND1P14		
MTND1P15		
MTND1P16		
MTND1P17		
MTND1P18		
MTND1P19		
MTND1P2		
MTND1P20		
MTND1P21		
MTND1P22		
MTND1P23		
MTND1P24		
MTND1P25		
MTND1P26		
MTND1P27		
MTND1P28		
MTND1P29		
MTND1P3		
MTND1P30		
MTND1P31		
MTND1P32		
MTND1P33		
MTND1P34		
MTND1P35		
MTND1P36		
MTND1P37		
MTND1P4		
MTND1P5		
MTND1P6		
MTND1P7		
MTND1P8		
MTND1P9		
MTND2P1		
MTND2P10		
MTND2P11		
MTND2P12		
MTND2P13		
MTND2P14		
MTND2P15		
MTND2P16		
MTND2P17		
MTND2P18		
MTND2P19		
MTND2P2	bA522L3.2	MT-ND2 pseudogene 2
MTND2P20		
MTND2P21		
MTND2P22		
MTND2P23		
MTND2P24		
MTND2P25		
MTND2P26		
MTND2P27		
MTND2P28		
MTND2P29		
MTND2P3		
MTND2P30		
MTND2P31		
MTND2P32		
MTND2P33		
MTND2P34		
MTND2P35		
MTND2P36		
MTND2P37		
MTND2P38		
MTND2P39		
MTND2P4		
MTND2P40		
MTND2P41		
MTND2P5		
MTND2P6		
MTND2P7		
MTND2P8		
MTND2P9		
MTND3P1		
MTND3P10		
MTND3P11		
MTND3P12		
MTND3P13		
MTND3P14		
MTND3P15		
MTND3P16	ALS2CR3	MT-ND3 pseudogene 16
MTND3P17		
MTND3P18		
MTND3P19		
MTND3P2		
MTND3P20		
MTND3P21		
MTND3P22		
MTND3P23		
MTND3P24		
MTND3P25		
MTND3P3		
MTND3P4		
MTND3P5		
MTND3P6		
MTND3P7		
MTND3P8		
MTND3P9		
MTND4LP1	MTND4L2	MT-ND4L pseudogene 1
MTND4LP10		
MTND4LP11		
MTND4LP12		
MTND4LP13		
MTND4LP14		
MTND4LP15		
MTND4LP16	ALS2CR3	MT-ND4L pseudogene 16
MTND4LP17		
MTND4LP18		
MTND4LP19		
MTND4LP2		
MTND4LP20		
MTND4LP21		
MTND4LP22		
MTND4LP23		
MTND4LP24		
MTND4LP25		
MTND4LP26		
MTND4LP27		
MTND4LP28		
MTND4LP29		
MTND4LP3		
MTND4LP30		
MTND4LP31		
MTND4LP32		
MTND4LP4		
MTND4LP5		
MTND4LP6		
MTND4LP7		
MTND4LP8		
MTND4LP9		
MTND4P1		
MTND4P10		
MTND4P11		
MTND4P12		
MTND4P13		
MTND4P14		
MTND4P15		
MTND4P16		
MTND4P17		
MTND4P18		
MTND4P19		
MTND4P2		
MTND4P20		
MTND4P21		
MTND4P22		
MTND4P23		
MTND4P24		
MTND4P25		
MTND4P26		
MTND4P27		
MTND4P28		
MTND4P29		
MTND4P3		
MTND4P30		
MTND4P31		
MTND4P32		
MTND4P33		
MTND4P34		
MTND4P35		
MTND4P36		
MTND4P37		
MTND4P38		
MTND4P39		
MTND4P4		
MTND4P40		
MTND4P41		
MTND4P5		
MTND4P6		
MTND4P7		
MTND4P8		
MTND4P9		
MTND5P1		
MTND5P10		
MTND5P11		
MTND5P12		
MTND5P13		
MTND5P14		
MTND5P15		
MTND5P16		
MTND5P17		
MTND5P18		
MTND5P19		
MTND5P2		
MTND5P20		
MTND5P21		
MTND5P22		
MTND5P23		
MTND5P24		
MTND5P25		
MTND5P26		
MTND5P27		
MTND5P28		
MTND5P29		
MTND5P3		
MTND5P30		
MTND5P31		
MTND5P32		
MTND5P33		
MTND5P34		
MTND5P35		
MTND5P36		
MTND5P37		
MTND5P38		
MTND5P39		
MTND5P4		
MTND5P40		
MTND5P41		
MTND5P42		
MTND5P43		
MTND5P44		
MTND5P45		
MTND5P46		
MTND5P5		
MTND5P6		
MTND5P7		
MTND5P8		
MTND5P9		
MTND6P1		
MTND6P10		
MTND6P11		
MTND6P12		
MTND6P13		
MTND6P14		
MTND6P15		
MTND6P16		
MTND6P17		
MTND6P18		
MTND6P19		
MTND6P2		
MTND6P20		
MTND6P21		
MTND6P22		
MTND6P23		
MTND6P24		
MTND6P25		
MTND6P26		
MTND6P27		
MTND6P28		
MTND6P29		
MTND6P3		
MTND6P30		
MTND6P31		
MTND6P32		
MTND6P33		
MTND6P34		
MTND6P35		
MTND6P37		
MTND6P4		
MTND6P5		
MTND6P6		
MTND6P7		
MTND6P8		
MTND6P9		
MTNR1A	MEL-1A-R|MT1|MEL-1A-R	melatonin receptor 1A
MTNR1B	FGQTL2|MEL-1B-R|MT2	melatonin receptor 1B
MTO1	CGI-02|COXPD10	mitochondrial tRNA translation optimization 1
MTOR	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS|RAFT1|RAPT1|FLJ44809|FRAP|FRAP2|FRAP1|FRAP|FRAP1|FRAP2|RAFT1|RAPT1	mechanistic target of rapamycin kinase
MTOR-AS1		
MTP		
MTP18		
MTPAP	PAPD1|SPAX4|TENT6|FLJ10486|mtPAP|SPAX4|TENT6|PAPD1|PAPD1	mitochondrial poly(A) polymerase
MTPN	GCDP|V-1|MYOTROPHIN|GCDP|V-1	myotrophin
MTPN-LUZP6		
MTR	HMAG|MS|cblG|cblG	5-methyltetrahydrofolate-homocysteine methyltransferase
MTREX	Dob1|KIAA0052|Mtr4|SKIV2L2|fSAP118|Mtr4|Dob1|fSAP118|KIAA0052|SKIV2L2|DOB1|KIAA0052|MTR4|SKIV2L2	Mtr4 exosome RNA helicase
MTRF1	MRF1|MTTRF1|RF1|RF1|MTTRF1|MGC47721	mitochondrial translation release factor 1
MTRF1L	HMRF1L|MRF1L|mtRF1a|HMRF1L|mtRF1a|MTRF1A	mitochondrial translational release factor 1 like
MTRF1LP1		
MTRF1LP2		
MTRNR2L1	HN1	MT-RNR2 like 1
MTRNR2L10	HN10	MT-RNR2 like 10
MTRNR2L11	HN11	MT-RNR2 like 11
MTRNR2L12	HN12	MT-RNR2 like 12
MTRNR2L13	HN13	MT-RNR2 like 13
MTRNR2L2	HN2	MT-RNR2 like 2
MTRNR2L3	HN3	MT-RNR2 like 3
MTRNR2L4	HN4	MT-RNR2 like 4
MTRNR2L5	HN5	MT-RNR2 like 5
MTRNR2L6	HN6	MT-RNR2 like 6
MTRNR2L7	HN7	MT-RNR2 like 7
MTRNR2L8	HN8	MT-RNR2 like 8
MTRNR2L9	HN9	MT-RNR2 like 9
MTRR	MSR|cblE|cblE	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
MTSS1	MIM|MIMA|MIMB|KIAA0429|MIMA|MIMB|MIM|KIAA0429|MIM	MTSS1| I-BAR domain containing
MTSS1L	ABBA|ABBA-1|ABBA1|ABBA-1|LOC92154|ABBA	MTSS1L| I-BAR domain containing
MTTP	ABL|MTP|ABL|MTP|MTP	microsomal triglyceride transfer protein
MTURN	C7orf41|Ells1|FLJ25903|Ells1|C7orf41|C7orf41	maturin| neural progenitor differentiation regulator homolog
MTUS1	ATBP|ATIP|ATIP3|ICIS|MP44|MTSG1|MTSG1|KIAA1288|DKFZp586D1519|FLJ14295|ATIP1|MP44|ATBP|ICIS|ATIP3|ATBP|ATIP|GK1|KIAA1288|MTSG1	microtubule associated scaffold protein 1
MTUS2	CAZIP|ICIS|KIAA0774|TIP150|TIP150|CAZIP|ICIS|KIAA0774|CAZIP|KIAA0774|TIP150	microtubule associated scaffold protein 2
MTUS2-AS1		
MTUS2-AS2		
MTVR2		
MTX1	MTX|MTXN|MTXN|MTX|MTX|MTXN	metaxin 1
MTX1P1	MTX1P|MTXP|psMTX	metaxin 1 pseudogene 1
MTX2		
MTX3		
MUC 5AC		
MUC-B1		
MUC1	ADMCKD|ADMCKD1|CA 15-3|CD227|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM|CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCD|PUM|MCKD1|PUM	mucin 1| cell surface associated
MUC12	MUC-11|MUC-12|MUC11|MUC11|MUC11	mucin 12| cell surface associated
MUC13	DRCC1|MUC-13|DRCC1|DRCC1|RECC	mucin 13| cell surface associated
MUC15	MUC-15|PAS3|PASIII	mucin 15| cell surface associated
MUC16	CA125|CA125|FLJ14303|CA125	mucin 16| cell surface associated
MUC17	MUC-17|MUC-3|MUC3|MUC3	mucin 17| cell surface associated
MUC19	MUC-19|FLJ35746	mucin 19| oligomeric
MUC2	MLP|MUC-2|SMUC|SMUC	mucin 2| oligomeric mucus/gel-forming
MUC20	MUC-20|FLJ14408|KIAA1359|KIAA1359	mucin 20| cell surface associated
MUC20-OT1		
MUC20P1		
MUC21	C6orf205|KMQK697|MUC-21|bCX31G15.2|C6orf205|C6orf205	mucin 21| cell surface associated
MUC22	PBMUCL1|PBMUCL1|G4|PBMUCL1	mucin 22
MUC3		
MUC3A	MUC-3A|MUC3|MUC3|MUC3	mucin 3A| cell surface associated
MUC3B	MUC3|MUC3A	mucin 3B| cell surface associated
MUC4	ASGP|HSA276359|MUC-4	mucin 4| cell surface associated
MUC5AC	MUC5|TBM|leB|mucin|MUC5|MUC5	mucin 5AC| oligomeric mucus/gel-forming
MUC5B	MG1|MUC-5B|MUC5|MUC9|MG1|MUC5|MUC5	mucin 5B| oligomeric mucus/gel-forming
MUC5B-AS1		
MUC6	MUC-6	mucin 6| oligomeric mucus/gel-forming
MUC7	MG2|FLJ27047|MG2|MG2	mucin 7| secreted
MUC8		
MUCL1	SBEM|SBEM|SBEM	mucin like 1
MUCL3	C6orf37|DPCR1|PBLT|PBLT|bCX105N19.6|C6orf37|DPCR1	mucin like 3
MUHH2		
MUL1	C1orf166|GIDE|MAPL|MULAN|RNF218|FLJ12875|MULAN|RNF218|MAPL|GIDE|C1orf166|C1orf166|GIDE|MAPL|MULAN|RNF218	mitochondrial E3 ubiquitin protein ligase 1
MUM-1		
MUM1	EXPAND1|HSPC211|MUM-1|MUM-1|EXPAND1|EXPAND1	melanoma associated antigen (mutated) 1
MUM1L1	FLJ33516	
MUPCDH		
MUPP	MUP	major urinary protein| pseudogene
MUS81	SLX3|FLJ44872|SLX3	MUS81 structure-specific endonuclease subunit
MUSE		
MUSK	CMS9|FADS	muscle associated receptor tyrosine kinase
MUSP1		
MUSQTL1		
MUSTN1	MUSTANG|Mustang	musculoskeletal| embryonic nuclear protein 1
MUSTQTL1		
MUT	MCM	methylmalonyl-CoA mutase
MUTYH	MYH|MYH|MYH	mutY DNA glycosylase
MUXA		
MVB12A	CFBP|FAM125A|FLJ32495|FAM125A|CFBP|FAM125A	multivesicular body subunit 12A
MVB12B	C9orf28|FAM125B|FLJ00001|C9orf28|FAM125B|C9orf28|FAM125B	multivesicular body subunit 12B
MVD	FP17780|MDDase|MPD|POROK7|MPD|MPD	mevalonate diphosphate decarboxylase
MVK	LRBP|MK|MVLK|POROK3|LRBP|MK	mevalonate kinase
MVP	LRP|VAULT1|LRP|VAULT1|LRP	major vault protein
MX1	IFI-78K|IFI78|MX|MxA|IFI-78K|MxA	MX dynamin like GTPase 1
MX2	MXB|MXB	MX dynamin like GTPase 2
MXD1	BHLHC58|MAD|MAD1|MAD1|bHLHc58|MAD|MAD	MAX dimerization protein 1
MXD3	BHLHC13|MAD3|MYX|MAD3|bHLHc13|BHLHC13|MAD3	MAX dimerization protein 3
MXD4	MAD4|MST149|MSTP149|bHLHc12|MAD4|MSTP149|MST149|bHLHc12|BHLHC12|MAD4	MAX dimerization protein 4
MXI1	MAD2|MXD2|MXI|bHLHc11|MXD2|MAD2|MXI|bHLHc11|BHLHC11	MAX interactor 1| dimerization protein
MXRA5	DKFZp564I1922	
MXRA5Y	ADLICANP|MXRA5P|MXRA5P1	matrix remodeling associated 5 Y-linked (pseudogene)
MXRA7	FLJ46603|TMAP1|PS1TP1|TMAP1	
MXRA8	ASP3|DKFZp586E2023	matrix remodeling associated 8
MYADM	SB135	myeloid associated differentiation marker
MYADML		
MYADML2	LOC255275	
MYAS1		
MYB	Cmyb|c-myb|c-myb_CDS|efg|c-myb	MYB proto-oncogene| transcription factor
MYB-AS1	MYB-AS|MYBAS|NCRNA00209	MYB antisense RNA 1
MYB/NFIB fusion		
MYBBP1A	P160|PAP2|Pol5|P160|PAP2|FLJ37886|Pol5|P160	MYB binding protein 1a
MYBL1	A-MYB|AMYB|AMYB|A-myb|AMYB	MYB proto-oncogene like 1
MYBL2	B-MYB|BMYB|BMYB|B-MYB|BMYB	MYB proto-oncogene like 2
MYBPC1	LCCS4|MYBPCC|MYBPCS|MYBPCS	myosin binding protein C| slow type
MYBPC2	MYBPC|MYBPCF|MYBPCF|MYBPC|MGC163408|MYBPCF	myosin binding protein C| fast type
MYBPC3	CMD1MM|CMH4|FHC|LVNC10|MYBP-C|MYBP-C|FHC|CMH4	myosin binding protein C| cardiac
MYBPH		
MYBPHL		
MYC	MRTL|MYCC|bHLHe39|c-Myc|c-Myc|bHLHe39|MYCC|BHLHE39	MYC proto-oncogene| bHLH transcription factor
MYCBP	AMY-1|AMY-1|AMY1	MYC binding protein
MYCBP2	Myc-bp2|PAM|Phr|PAM|KIAA0916|FLJ10106|KIAA0916|PAM	MYC binding protein 2| E3 ubiquitin protein ligase
MYCBP2-AS1		
MYCBP2-AS2		
MYCBPAP	AMAP-1|AMAP1|AMAP-1|DKFZp434N1415|AMAP1	MYCBP associated protein
MYCL	L-Myc|LMYC|MYCL1|bHLHe38|LMYC|bHLHe38|MYCL1|BHLHE38|LMYC|MYCL1	MYCL proto-oncogene| bHLH transcription factor
MYCL1		
MYCLP1	L-MYC2|MYCL1P1|MYCL2|bHLHe38|MYCL1P1|MYCL2	MYCL pseudogene 1
MYCLP2		
MYCLP3	MYCL3	MYCL pseudogene 3
MYCN	MODED|N-myc|NMYC|ODED|bHLHe37|bHLHe37|N-myc|MYCNOT|NMYC|BHLHE37|NMYC	MYCN proto-oncogene| bHLH transcription factor
MYCNOS	MYCN-AS1|N-CYM|NCYM|NYCM|CYMN|NCYM	MYCN opposite strand
MYCNUT	MYCNUN|lncUSMycN	MYCN upstream transcript
MYCNsORF		
MYCT1	MTLC|MTLC|FLJ21269|MTLC|MTMC1	MYC target 1
MYD88	MYD88D	myeloid differentiation primary response 88
MYDGF	C19orf10|EUROIMAGE1875335|IL25|IL27|IL27w|R33729_1|SF20|R33729_1|IL25|SF20|IL-25|IL-27|IL27|IL27w|C19orf10|C19orf10|IL25	myeloid derived growth factor
MYEF2	HsT18564|MEF-2|MST156|MSTP156|myEF-2|MEF-2|FLJ11213|KIAA1341|HsT18564|KIAA1341	myelin expression factor 2
MYEOV	OCIM|OCIM|OCIM	myeloma overexpressed
MYF4		
MYF5	bHLHc2|bHLHc2|BHLHC2	myogenic factor 5
MYF6	CNM3|MRF4|bHLHc4|myf-6|MRF4|bHLHc4|BHLHC4|MRF4	myogenic factor 6
MYH1	HEL71|MYHSA1|MYHa|MyHC-2X/D|MyHC-2x|MYHSA1|MYHa|MyHC-2X/D|MGC133384	myosin heavy chain 1
MYH10	NMMHC-IIB|NMMHCB|NMMHCB	myosin heavy chain 10
MYH11	AAT4|FAA4|SMHC|SMMHC|SMMHC|SMHC|KIAA0866	myosin heavy chain 11
MYH13	MyHC-IIL|MyHC-eo|MyHC-eo	myosin heavy chain 13
MYH14	DFNA4|DFNA4A|FP17425|MHC16|MYH17|NMHC II-C|NMHC-II-C|PNMHH|myosin|FLJ13881|KIAA2034|MHC16|MYH17|DFNA4|KIAA2034	myosin heavy chain 14
MYH15	KIAA1000|KIAA1000	
MYH16	MHC20|MYH16P|MYH5|MYH5	myosin heavy chain 16 pseudogene
MYH2	IBM3|MYH2A|MYHSA2|MYHas8|MYPOP|MyHC-2A|MyHC-IIa|MYH2A|MYHSA2|MyHC-IIa|MYHas8|MyHC-2A|IBM3|MYHSA2	myosin heavy chain 2
MYH3	DA2A|DA2B|DA8|HEMHC|MYHC-EMB|MYHSE1|SMHCE|MYHC-EMB|MYHSE1|HEMHC|SMHCE	myosin heavy chain 3
MYH4	MYH2B|MyHC-2B|MyHC-IIb|MYH2B|MyHC-2B|MyHC-IIb	myosin heavy chain 4
MYH6	ASD3|CMD1EE|CMH14|MYHC|MYHCA|SSS3|alpha-MHC|MYHCA	myosin heavy chain 6
MYH7	CMD1S|CMH1|MPD1|MYHCB|SPMD|SPMM|CMD1S|CMH1|MPD1|MYHCB	myosin heavy chain 7
MYH7B	MHC14|MYH14|KIAA1512|dJ756N5.1|MYH14|MHC14|KIAA1512	myosin heavy chain 7B
MYH8	DA7|MyHC-peri|MyHC-pn|gtMHC-F|MyHC-peri|MyHC-pn	myosin heavy chain 8
MYH9	BDPLT6|DFNA17|EPSTS|FTNS|MATINS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA|NMMHCA|NMHC-II-A|MHA|FTNS|EPSTS|DFNA17	myosin heavy chain 9
MYHAS		
MYHbeta		
MYL1	MLC1F|MLC3F	myosin light chain 1
MYL10	MYLC2PL|PLRLC|MGC3479|MYLC2PL|PLRLC|MYLC2PL|PLRLC	myosin light chain 10
MYL12A	HEL-S-24|MLC-2B|MLCB|MRCL3|MRLC3|MYL2B|MLCB|MYL2B|MRLC3|MRCL3|MLCB|MRLC3|RLC	myosin light chain 12A
MYL12AP1		
MYL12B	MLC-B|MRLC2|MRLC2|MRLC2|MYLC2B	myosin light chain 12B
MYL12BP1		
MYL12BP2		
MYL2	CMH10|MLC-2s/v|MLC2|CMH10|MLC2	myosin light chain 2
MYL3	CMH8|MLC-lV/sb|MLC1SB|MLC1V|VLC1|VLCl|CMH8|VLC1|MLC1V|MLC1SB	myosin light chain 3
MYL4	ALC1|AMLC|GT1|PRO1957|ALC1|AMLC|GT1|PRO1957|MLC1	myosin light chain 4
